"gene_id","symbol","GSE149370","GSE157622","GSE157622","ENCSR782MXN","ENCSR535YPK"
"ENSG00000000003","TSPAN6",0.885489620687165,0.684525568599777,0.592392474724581,0.923590584695295,1
"ENSG00000000419","DPM1",0.974965098683065,0.922788587358704,0.522431241057057,0.0398708031674387,0.000988735412295519
"ENSG00000000457","SCYL3",1,0.0939582219299175,0.149420087814966,0.316421675040565,0.669664400970177
"ENSG00000000460","C1orf112",0.962821456902367,0.726123033018623,0.660449139557731,0.783926650287001,0.243174893446328
"ENSG00000000971","CFH",1,1,1,1,0.00700191066029014
"ENSG00000001036","FUCA2",0.658079349702756,0.434750373723371,0.336845723241773,0.855408921825739,0.0816839873310661
"ENSG00000001084","GCLC",0.985431685402043,0.237645768872308,0.992472932960318,0.212686089986541,0.114254788771592
"ENSG00000001167","NFYA",1,0.950069293788331,0.843140943746618,0.6905889911804,0.625800072273579
"ENSG00000001460","STPG1",1,0.513052823086327,0.316792498742266,0.343417144753911,0.0442156589207796
"ENSG00000001461","NIPAL3",0.971726416735401,0.477901971417951,0.424629009969905,0.565046309600156,0.816860836022469
"ENSG00000001497","LAS1L",1,0.0203062094341042,0.679991835248199,0.793298364504441,0.330044100636271
"ENSG00000001561","ENPP4",0.408062619439842,0.0368014369181597,0.0820094319533639,0.979643214560956,1
"ENSG00000001617","SEMA3F",0.868420313692941,0.804768388303495,0.135920514268326,0.0230113850784869,0.00117767721064498
"ENSG00000001626","CFTR",0.435667682853793,1,1,1,1
"ENSG00000001629","ANKIB1",0.989659896845838,0.422405969581521,0.899611824598161,0.544377096517971,0.761625332564372
"ENSG00000001630","CYP51A1",1,0.319614268455975,0.116917287621173,0.108314925652579,0.0507462534260942
"ENSG00000001631","KRIT1",0.985554669924119,0.34823449944303,0.213711263795961,0.369146076448197,0.380289183467008
"ENSG00000002016","RAD52",0.985431685402043,0.0703986021989986,0.816682537716356,0.777515972527303,0.170634551373385
"ENSG00000002079","MYH16",1,1,0.768865899744607,0.678210695661824,1
"ENSG00000002330","BAD",0.911437716416476,0.863174444088768,0.551893355843666,0.40237540623357,0.0867183058951623
"ENSG00000002549","LAP3",0.822217648349737,0.570669486733686,0.964963751579196,0.619018364419133,0.0042891404802138
"ENSG00000002586","CD99",1,1,1,0.634499079935281,0.125237459452887
"ENSG00000002587","HS3ST1",0.65898818951061,1,1,1,1
"ENSG00000002726","AOC1",0.708486669992404,1,1,1,1
"ENSG00000002746","HECW1",0.928878823024416,0.247280907028714,1,1,1
